time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/14:04:33.830958,$GPGGA,42.341098333333335,-71.09718333333333,7.1,327243.2641411228,4689779.144015722,19,T
2022/02/08/14:04:34.853958,$GPGGA,42.34110833333334,-71.09717333333333,7.1,327244.115319888,4689780.234122292,19,T
2022/02/08/14:04:35.860366,$GPGGA,42.34111666666666,-71.09716333333334,7.0,327244.96193373913,4689781.139158122,19,T
2022/02/08/14:04:36.824559,$GPGGA,42.34112666666667,-71.09715333333334,6.9,327245.81311201194,4689782.229264888,19,T
2022/02/08/14:04:37.854993,$GPGGA,42.341135,-71.09714333333334,6.9,327246.6597254168,4689783.1343009155,19,T
2022/02/08/14:04:38.858535,$GPGGA,42.341143333333335,-71.09713166666667,6.8,327247.6436369532,4689784.035950709,19,T
2022/02/08/14:04:39.853028,$GPGGA,42.34115166666667,-71.09712166666667,6.7,327248.4902499083,4689784.940986948,19,T
2022/02/08/14:04:40.853864,$GPGGA,42.34116000000001,-71.09711166666666,6.7,327249.3368626466,4689785.846023285,19,T
2022/02/08/14:04:41.859711,$GPGGA,42.34116833333333,-71.0971,6.6,327250.32077346795,4689786.747673434,19,T
2022/02/08/14:04:42.860292,$GPGGA,42.34117666666666,-71.09708833333335,6.6,327251.30468403816,4689787.649323718,19,T
2022/02/08/14:04:43.826219,$GPGGA,42.341184999999996,-71.09708,6.6,327252.0139978346,4689788.557746622,19,T
2022/02/08/14:04:44.855246,$GPGGA,42.341190000000005,-71.09707499999999,6.7,327252.43958603195,4689789.102800396,19,T
2022/02/08/14:04:45.857024,$GPGGA,42.341190000000005,-71.09707333333334,6.6,327252.5768842781,4689789.09941416,19,T
2022/02/08/14:04:46.862050,$GPGGA,42.341190000000005,-71.09707499999999,6.6,327252.43958603195,4689789.102800396,19,T
2022/02/08/14:04:47.862759,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:48.861587,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:49.831560,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:50.857666,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:51.829093,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:52.862710,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:53.864276,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:54.857921,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:55.831379,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:56.826585,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
2022/02/08/14:04:57.828899,$GPGGA,42.341188333333335,-71.09707499999999,6.6,327252.4350215606,4689788.917729562,19,T
