time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/15:02:47.493363,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:48.500281,$GPGGA,42.34063666666666,-71.09753666666667,6.7,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:49.493072,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:50.498160,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:51.492773,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:52.499022,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:53.493925,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:54.494109,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:55.492998,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:56.494716,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:57.494875,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:58.500782,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:02:59.498194,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:00.494065,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:01.494550,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:02.493462,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:03.493537,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:04.500012,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:05.494613,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:06.493450,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:07.492862,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:08.493440,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:09.497818,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:10.497818,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:11.497910,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:12.500758,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:13.493876,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:14.492902,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:15.497930,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:16.498333,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:17.497500,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:18.505326,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:19.492356,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:20.492417,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:21.492501,$GPGGA,42.34063666666666,-71.09753666666667,6.6,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:22.498791,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:23.493002,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:24.493029,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:25.499323,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:26.493764,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:27.497106,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:28.499197,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:29.504630,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:30.493876,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:31.491673,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:32.492764,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:33.498286,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:34.499029,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:35.498847,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:36.500670,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
2022/02/08/15:03:37.494269,$GPGGA,42.34063666666666,-71.09753666666667,6.5,327212.8922401377,4689728.597375823,19,T
